Type,SKU,Name,Published,Regular price,Sale price,Categories,Images,Short description,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Manage stock?,Stock
variable,TS-102,Hello Kitty Phiên Bản Thiên Thần,1,,,Gấu bông hoạt hình > Hello Kitty,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-thienthan.jpg,"Hello Kitty Phiên Bản Thiên Thần được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-102-1,Hello Kitty Phiên Bản Thiên Thần - 30cm,1,270000.0,237000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-thienthan.jpg,,TS-102,Kích thước,30cm,,1,1,50
variation,TS-102-2,Hello Kitty Phiên Bản Thiên Thần - 50cm,1,340000.0,299000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-thienthan.jpg,,TS-102,Kích thước,50cm,,1,1,50
variation,TS-102-3,Hello Kitty Phiên Bản Thiên Thần - 70cm,1,410000.0,360000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-thienthan.jpg,,TS-102,Kích thước,70cm,,1,1,50
variable,TS-103,Hello Kitty Cosplay Thỏ Trắng,1,,,Gấu bông hoạt hình > Hello Kitty,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-thotrang.jpg,"Hello Kitty Cosplay Thỏ Trắng được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-103-1,Hello Kitty Cosplay Thỏ Trắng - 30cm,1,180000.0,158000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-thotrang.jpg,,TS-103,Kích thước,30cm,,1,1,50
variation,TS-103-2,Hello Kitty Cosplay Thỏ Trắng - 50cm,1,250000.0,220000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-thotrang.jpg,,TS-103,Kích thước,50cm,,1,1,50
variation,TS-103-3,Hello Kitty Cosplay Thỏ Trắng - 70cm,1,320000.0,281000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-thotrang.jpg,,TS-103,Kích thước,70cm,,1,1,50
variable,TS-104,Gấu Bông Hello Kitty Đeo Nơ Chấm Bi,1,,,Gấu bông hoạt hình > Hello Kitty,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-nochambi.jpg,"Gấu Bông Hello Kitty Đeo Nơ Chấm Bi được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-104-1,Gấu Bông Hello Kitty Đeo Nơ Chấm Bi - 30cm,1,340000.0,299000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-nochambi.jpg,,TS-104,Kích thước,30cm,,1,1,50
variation,TS-104-2,Gấu Bông Hello Kitty Đeo Nơ Chấm Bi - 50cm,1,410000.0,360000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-nochambi.jpg,,TS-104,Kích thước,50cm,,1,1,50
variation,TS-104-3,Gấu Bông Hello Kitty Đeo Nơ Chấm Bi - 70cm,1,480000.0,422000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-nochambi.jpg,,TS-104,Kích thước,70cm,,1,1,50
variable,TS-105,Hello Kitty Handmade Dễ Thương,1,,,Gấu bông hoạt hình > Hello Kitty,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-handmade.jpg,"Hello Kitty Handmade Dễ Thương được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
